,latitude,longitude,number,time,step,surface,valid_time,lsm
6425,-20.0,42.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6428,-20.0,50.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6429,-20.0,52.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6430,-20.0,55.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6431,-20.0,57.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6432,-20.0,60.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6433,-20.0,62.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6434,-20.0,65.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6435,-20.0,67.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6436,-20.0,70.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6437,-20.0,72.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6438,-20.0,75.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6439,-20.0,77.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6440,-20.0,80.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6441,-20.0,82.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6442,-20.0,85.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6443,-20.0,87.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6444,-20.0,90.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6567,-22.5,37.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6568,-22.5,40.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6569,-22.5,42.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6572,-22.5,50.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6573,-22.5,52.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6574,-22.5,55.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6575,-22.5,57.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6576,-22.5,60.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
